Node,Parent
L3d1,L3d1'2'3'4'5'6
U4'9,U2'3'4'7'8'9
B4b,B4b'd'e'j
L3e,L3e'i'k'x
B4d1,B4d1'2'3
C4a2,C4a2'3'4
C4a,C4a'b'c
F1a,F1a'c'f
HV1a,HV1a'b'c
L0d2a,L0d2a'b'd
M1,M1'20'51
M13,M13'46'61
N9a2,N9a2'4'5
U2e1,U2e1'2'3
U6a,U6a'b'd
B4b1b,B4b1b'c
B4c1a,B4c1a'b
C4a1,C4a1'5
D2a,D2a'b
D4b1b,D4b1b'd
D4e1,D4e1'3
D5a,D5a'b
F1a1,F1a1'4
G1a2,G1a2'3
G2a,G2a'c
G3a1,G3a1'2
H5,H5'36
I2,I2'3
L0a1,L0a1'4
L0a,L0a'b
L0a'b,L0a'b'f
L0a'b'f,L0a'b'f'k
L0d1,L0d1'2
L0d1a,L0d1a'c
L1b1a1,L1b1a1'4
L1b2,L1b2'3
L1c1'2'4'6,L1c1'2'4'5'6
L1c1a,L1c1a'b'd
L1c1b,L1c1b'd
L1c2b1a,L1c2b1a'b
L1c3b,L1c3b'c
L1c2'4,L1c1'2'4'6
L1c2,L1c2'4
L2a1,L2a1'2'3'4
L2a2,L2a2'3
L2a2'3,L2a2'3'4
L2b'c'd,L2a'b'c'd
L2b,L2b'c
L2b'c,L2b'c'd
L3b,L3b'f
L3c,L3c'd
L3d1a1,L3d1a1'2
L3e3,L3e3'4
L3e3'4,L3e3'4'5
M11a,M11a'b
M12,M12'G
M13a,M13a'b
M18,M18'38
M19,M19'53
M23,M23'75
M24,M24'41
M29,M29'Q
M2a,M2a'b
M31b,M31b'c
M32,M32'56
M33a2,M33a2'3
M34,M34'57
M39,M39'70
M42,M42'74
M55,M55'77
M5a,M5a'd
M5b,M5b'c
M62,M62'68
M73,M73'79
M7b,M7b'c
M80,M80'D
M8a2,M8a2'3
M9a,M9a'b
N1,N1'5
N1a1,N1a1'2
N9a1,N9a1'3
P2,P2'10
Q1,Q1'2
R0a2,R0a2'3
R0a,R0a'b
R11,R11'B6
R12,R12'21
R7a,R7a'b
T1a1,T1a1'3
U2c,U2c'd
U3a,U3a'c
U4,U4'9
U5a,U5a'b
U8b,U8b'c
X1'3,X1'2'3
X1,X1'3
X2a,X2a'j
X2b,X2b'd
X2m,X2m'n
L3d2,L3d1'2'3'4'5'6
